町丁名,世帯数,男,女
四谷１丁目,225,191,261
四谷２丁目,240,194,221
四谷３丁目,262,185,220
四谷４丁目,2076,1677,1549
四谷本塩町,251,207,201
四谷三栄町,1030,882,945
四谷坂町,1343,1036,1051
若葉１丁目,1336,1230,1193
若葉２丁目,408,375,384
若葉３丁目,568,440,448
須賀町,799,683,662
左門町,969,663,810
信濃町,544,399,492
南元町,1224,1081,1227
荒木町,1565,1155,1169
舟町,948,652,666
愛住町,855,669,674
大京町,2054,1583,1884
霞ヶ丘町,1,1,0
内藤町,685,633,550
片町,211,155,151
新宿１丁目,2712,1926,1747
新宿２丁目,797,619,478
新宿３丁目,100,89,49
新宿４丁目,220,179,101
新宿５丁目,1821,1302,986
新宿６丁目,2674,1960,1728
新宿７丁目,3572,2937,2681
歌舞伎町１丁目,160,127,57
歌舞伎町２丁目,1524,1213,538
市谷田町１丁目,19,10,21
市谷田町２丁目,342,243,349
市谷田町３丁目,186,150,186
市谷本村町,1731,1531,913
市谷砂土原町１丁目,107,98,123
市谷砂土原町２丁目,224,176,222
市谷砂土原町３丁目,420,406,451
市谷左内町,226,204,227
市谷加賀町１丁目,21,13,22
市谷加賀町２丁目,930,678,983
市谷甲良町,384,347,388
市谷船河原町,69,73,81
市谷長延寺町,90,46,84
市谷鷹匠町,20,22,24
市谷山伏町,288,254,268
市谷八幡町,63,55,66
神楽坂１丁目,11,11,16
神楽坂２丁目,127,84,117
神楽坂３丁目,292,228,215
神楽坂４丁目,90,77,89
神楽坂５丁目,384,303,391
神楽坂６丁目,551,379,464
細工町,254,203,222
二十騎町,361,303,341
揚場町,55,49,58
津久戸町,68,46,50
東五軒町,1104,981,1119
西五軒町,886,764,809
赤城元町,224,176,212
南榎町,672,657,669
袋町,373,324,341
払方町,473,453,501
南町,375,376,405
北町,490,460,512
納戸町,520,445,515
南山伏町,369,322,306
北山伏町,333,218,254
白銀町,716,589,735
下宮比町,147,92,117
矢来町,2492,2124,2459
若宮町,522,445,465
岩戸町,414,278,323
中町,255,248,257
箪笥町,400,274,313
横寺町,574,442,448
筑土八幡町,531,379,501
新小川町,1798,1474,1506
神楽河岸,0,0,0
市谷薬王寺町,1957,1475,1597
市谷柳町,834,566,664
市谷仲之町,1137,1010,1136
赤城下町,730,570,581
天神町,677,495,554
榎町,438,311,306
東榎町,201,138,145
早稲田町,702,490,561
早稲田南町,400,351,366
馬場下町,299,244,234
原町１丁目,804,631,724
原町２丁目,657,613,572
原町３丁目,1042,764,913
喜久井町,1052,946,922
築地町,308,242,284
弁天町,1855,1511,1610
中里町,351,327,365
山吹町,2155,1589,1713
改代町,354,295,265
水道町,611,428,459
早稲田鶴巻町,3287,2501,2564
住吉町,1642,1232,1282
市谷台町,808,670,640
河田町,1255,1126,1138
若松町,3117,2523,2738
余丁町,2390,1923,2002
戸山１丁目,1424,1118,1235
戸山２丁目,3210,2061,3093
戸山３丁目,481,418,400
富久町,3845,3368,3312
百人町１丁目,1915,1503,965
百人町２丁目,2046,1597,1242
百人町３丁目,2376,2396,2631
百人町４丁目,1434,974,1321
大久保１丁目,1806,1344,1096
大久保２丁目,3745,2915,2525
大久保３丁目,2042,1959,2149
戸塚町１丁目,101,73,87
西早稲田１丁目,2958,2307,2473
西早稲田２丁目,3072,2524,2386
西早稲田３丁目,3415,3075,2913
高田馬場１丁目,2282,1913,1741
高田馬場２丁目,1022,822,711
高田馬場３丁目,3313,2563,2265
高田馬場４丁目,3353,2820,2636
下落合１丁目,1245,911,833
下落合２丁目,1727,1511,1610
下落合３丁目,2350,1869,2288
下落合４丁目,2308,1971,2161
中落合１丁目,2021,1575,1621
中落合２丁目,2600,2279,2427
中落合３丁目,2279,1957,2092
中落合４丁目,1593,1470,1424
上落合１丁目,2985,2504,2441
上落合２丁目,2954,2320,2193
上落合３丁目,2871,2170,2061
西落合１丁目,2578,2107,2208
西落合２丁目,2377,2005,1986
西落合３丁目,1741,1390,1595
西落合４丁目,1154,995,1105
中井１丁目,1156,913,730
中井２丁目,1549,1443,1525
北新宿１丁目,3900,2919,2606
北新宿２丁目,2819,2462,2222
北新宿３丁目,3725,2937,2689
北新宿４丁目,3487,2741,2486
西新宿１丁目,34,28,27
西新宿２丁目,3,3,5
西新宿３丁目,1401,935,949
西新宿４丁目,4595,3503,3129
西新宿５丁目,2565,1998,1791
西新宿６丁目,1979,1570,1388
西新宿７丁目,1499,1157,864
西新宿８丁目,1924,1413,1322
