町丁名,世帯数,男,女
四谷１丁目,16,12,7
四谷２丁目,31,19,18
四谷３丁目,27,26,12
四谷４丁目,195,124,112
四谷本塩町,18,9,12
四谷三栄町,64,42,48
四谷坂町,112,72,72
若葉１丁目,92,76,47
若葉２丁目,26,18,15
若葉３丁目,44,24,29
須賀町,44,27,25
左門町,65,40,33
信濃町,25,11,15
南元町,139,85,81
荒木町,146,90,85
舟町,64,43,32
愛住町,63,49,27
大京町,125,88,65
霞ヶ丘町,0,0,0
内藤町,39,24,26
片町,22,8,14
新宿１丁目,325,187,196
新宿２丁目,96,64,46
新宿３丁目,9,7,8
新宿４丁目,10,5,6
新宿５丁目,271,157,157
新宿６丁目,454,300,273
新宿７丁目,823,544,521
歌舞伎町１丁目,14,11,6
歌舞伎町２丁目,396,209,282
市谷田町１丁目,1,0,1
市谷田町２丁目,11,12,13
市谷田町３丁目,20,8,17
市谷本村町,64,63,67
市谷砂土原町１丁目,7,7,5
市谷砂土原町２丁目,22,17,11
市谷砂土原町３丁目,67,86,63
市谷左内町,15,10,9
市谷加賀町１丁目,0,0,0
市谷加賀町２丁目,52,36,39
市谷甲良町,15,13,13
市谷船河原町,8,14,10
市谷長延寺町,5,0,5
市谷鷹匠町,0,0,0
市谷山伏町,19,15,14
市谷八幡町,2,1,1
神楽坂１丁目,1,1,0
神楽坂２丁目,13,5,8
神楽坂３丁目,13,10,9
神楽坂４丁目,4,2,3
神楽坂５丁目,16,14,4
神楽坂６丁目,24,14,11
細工町,6,2,4
二十騎町,18,13,12
揚場町,1,1,0
津久戸町,3,3,0
東五軒町,53,28,35
西五軒町,67,54,34
赤城元町,11,8,5
南榎町,46,35,25
袋町,12,9,8
払方町,42,34,37
南町,18,16,9
北町,10,9,6
納戸町,51,31,24
南山伏町,10,8,6
北山伏町,21,13,12
白銀町,34,26,16
下宮比町,10,6,6
矢来町,124,65,72
若宮町,41,51,57
岩戸町,13,7,8
中町,12,7,8
箪笥町,19,12,7
横寺町,14,8,8
筑土八幡町,28,18,17
新小川町,116,78,62
神楽河岸,0,0,0
市谷薬王寺町,158,118,128
市谷柳町,45,31,22
市谷仲之町,140,164,152
赤城下町,45,31,16
天神町,72,32,44
榎町,25,10,17
東榎町,28,16,14
早稲田町,113,66,60
早稲田南町,64,45,29
馬場下町,34,18,23
原町１丁目,69,46,47
原町２丁目,55,45,48
原町３丁目,104,103,103
喜久井町,88,61,44
築地町,21,15,6
弁天町,146,87,92
中里町,10,4,7
山吹町,177,87,109
改代町,26,9,18
水道町,31,18,19
早稲田鶴巻町,654,345,370
住吉町,154,102,98
市谷台町,104,63,63
河田町,309,351,386
若松町,352,300,300
余丁町,184,120,122
戸山１丁目,160,80,109
戸山２丁目,290,153,283
戸山３丁目,83,50,48
富久町,396,263,272
百人町１丁目,1484,897,793
百人町２丁目,1711,1152,953
百人町３丁目,295,230,251
百人町４丁目,201,200,209
大久保１丁目,1769,1067,991
大久保２丁目,2540,1619,1528
大久保３丁目,373,276,327
戸塚町１丁目,38,15,30
西早稲田１丁目,704,344,455
西早稲田２丁目,1132,560,665
西早稲田３丁目,968,554,520
高田馬場１丁目,676,411,370
高田馬場２丁目,301,184,158
高田馬場３丁目,972,612,520
高田馬場４丁目,1079,725,573
下落合１丁目,830,455,456
下落合２丁目,317,223,181
下落合３丁目,250,160,126
下落合４丁目,429,252,215
中落合１丁目,247,141,141
中落合２丁目,314,208,178
中落合３丁目,141,78,87
中落合４丁目,180,97,104
上落合１丁目,438,272,258
上落合２丁目,369,218,194
上落合３丁目,374,197,217
西落合１丁目,221,118,129
西落合２丁目,217,108,152
西落合３丁目,127,66,79
西落合４丁目,205,134,81
中井１丁目,126,67,70
中井２丁目,199,103,127
北新宿１丁目,1552,989,844
北新宿２丁目,459,310,302
北新宿３丁目,1479,922,849
北新宿４丁目,1190,839,650
西新宿１丁目,2,1,1
西新宿２丁目,0,0,0
西新宿３丁目,209,127,104
西新宿４丁目,491,280,283
西新宿５丁目,350,225,250
西新宿６丁目,330,250,224
西新宿７丁目,215,135,109
西新宿８丁目,257,167,152
