町丁名,世帯数,男,女
四谷１丁目,246,205,280
四谷２丁目,264,213,232
四谷３丁目,284,199,226
四谷４丁目,2249,1815,1646
四谷本塩町,279,222,220
四谷三栄町,1094,946,1033
四谷坂町,1529,1195,1187
若葉１丁目,1433,1314,1272
若葉２丁目,445,393,409
若葉３丁目,642,485,507
須賀町,841,721,699
左門町,1029,710,846
信濃町,586,416,523
南元町,1361,1186,1321
荒木町,1714,1270,1286
舟町,1006,699,705
愛住町,922,722,708
大京町,2198,1682,1996
霞ヶ丘町,0,0,0
内藤町,735,669,598
片町,255,181,179
新宿１丁目,3052,2160,1957
新宿２丁目,893,667,520
新宿３丁目,108,92,59
新宿４丁目,219,176,110
新宿５丁目,2110,1473,1155
新宿６丁目,3167,2323,2029
新宿７丁目,4347,3509,3239
歌舞伎町１丁目,181,146,58
歌舞伎町２丁目,1919,1460,832
市谷田町１丁目,18,9,20
市谷田町２丁目,343,254,347
市谷田町３丁目,203,161,202
市谷本村町,1755,1576,1001
市谷砂土原町１丁目,109,102,124
市谷砂土原町２丁目,266,214,269
市谷砂土原町３丁目,481,498,518
市谷左内町,230,205,232
市谷加賀町１丁目,22,14,21
市谷加賀町２丁目,1052,734,1111
市谷甲良町,433,384,432
市谷船河原町,77,87,93
市谷長延寺町,95,46,89
市谷鷹匠町,17,19,20
市谷山伏町,292,267,276
市谷八幡町,62,54,62
神楽坂１丁目,13,13,16
神楽坂２丁目,138,87,122
神楽坂３丁目,288,228,210
神楽坂４丁目,100,84,99
神楽坂５丁目,395,317,406
神楽坂６丁目,571,384,487
細工町,267,215,225
二十騎町,398,323,365
揚場町,54,49,55
津久戸町,68,50,47
東五軒町,1155,1010,1172
西五軒町,979,841,871
赤城元町,235,184,215
南榎町,735,702,733
袋町,376,327,344
払方町,497,484,550
南町,378,386,411
北町,514,485,507
納戸町,575,492,560
南山伏町,369,325,311
北山伏町,386,260,312
白銀町,747,620,764
下宮比町,155,97,126
矢来町,2582,2201,2509
若宮町,556,483,521
岩戸町,433,294,337
中町,269,257,267
箪笥町,422,282,333
横寺町,589,453,477
筑土八幡町,532,392,493
新小川町,2021,1646,1641
神楽河岸,0,0,0
市谷薬王寺町,2108,1605,1728
市谷柳町,880,609,693
市谷仲之町,1306,1192,1321
赤城下町,776,623,596
天神町,746,525,597
榎町,493,336,343
東榎町,248,165,170
早稲田町,872,599,670
早稲田南町,471,408,407
馬場下町,336,272,257
原町１丁目,913,689,805
原町２丁目,705,664,630
原町３丁目,1154,876,1054
喜久井町,1123,985,984
築地町,333,266,292
弁天町,2028,1633,1734
中里町,351,329,361
山吹町,2414,1713,1893
改代町,409,332,300
水道町,683,472,492
早稲田鶴巻町,4008,2901,2953
住吉町,1786,1332,1408
市谷台町,895,743,698
河田町,1552,1454,1536
若松町,3452,2840,3052
余丁町,2558,2059,2128
戸山１丁目,1570,1233,1342
戸山２丁目,3295,2133,3299
戸山３丁目,562,454,456
富久町,4216,3661,3631
百人町１丁目,3280,2379,1702
百人町２丁目,3694,2764,2198
百人町３丁目,2642,2626,2902
百人町４丁目,1650,1202,1581
大久保１丁目,3386,2330,2071
大久保２丁目,5986,4406,4045
大久保３丁目,2376,2235,2493
戸塚町１丁目,138,92,114
西早稲田１丁目,3627,2688,2903
西早稲田２丁目,4087,3058,2976
西早稲田３丁目,4274,3551,3433
高田馬場１丁目,2915,2318,2082
高田馬場２丁目,1302,1010,843
高田馬場３丁目,4307,3243,2787
高田馬場４丁目,4396,3575,3211
下落合１丁目,2044,1381,1276
下落合２丁目,2054,1742,1820
下落合３丁目,2554,2026,2396
下落合４丁目,2719,2235,2394
中落合１丁目,2261,1738,1756
中落合２丁目,2854,2446,2565
中落合３丁目,2423,2046,2184
中落合４丁目,1742,1548,1508
上落合１丁目,3438,2806,2714
上落合２丁目,3374,2584,2455
上落合３丁目,3257,2380,2322
西落合１丁目,2777,2220,2333
西落合２丁目,2599,2124,2131
西落合３丁目,1891,1465,1696
西落合４丁目,1293,1085,1189
中井１丁目,1283,983,812
中井２丁目,1749,1536,1665
北新宿１丁目,5467,3968,3495
北新宿２丁目,3206,2770,2518
北新宿３丁目,5029,3842,3473
北新宿４丁目,4573,3524,3164
西新宿１丁目,35,28,28
西新宿２丁目,2,2,5
西新宿３丁目,1693,1129,1126
西新宿４丁目,5085,3827,3465
西新宿５丁目,2785,2175,1996
西新宿６丁目,2244,1803,1594
西新宿７丁目,1727,1315,988
西新宿８丁目,2158,1581,1480
