町丁名,世帯数,男,女,date
四谷１丁目,242,203,271,2018-12-01
四谷２丁目,270,215,237,2018-12-01
四谷３丁目,285,210,230,2018-12-01
四谷４丁目,2246,1811,1665,2018-12-01
四谷本塩町,266,214,212,2018-12-01
四谷三栄町,1088,933,1003,2018-12-01
四谷坂町,1428,1108,1127,2018-12-01
若葉１丁目,1406,1301,1242,2018-12-01
若葉２丁目,433,395,396,2018-12-01
若葉３丁目,609,466,482,2018-12-01
須賀町,828,708,686,2018-12-01
左門町,1019,703,845,2018-12-01
信濃町,557,408,506,2018-12-01
南元町,1339,1168,1317,2018-12-01
荒木町,1686,1245,1259,2018-12-01
舟町,1003,690,706,2018-12-01
愛住町,906,720,700,2018-12-01
大京町,2150,1667,1955,2018-12-01
霞ヶ丘町,1,1,0,2018-12-01
内藤町,703,643,572,2018-12-01
片町,231,163,166,2018-12-01
新宿１丁目,3000,2129,1931,2018-12-01
新宿２丁目,881,672,517,2018-12-01
新宿３丁目,107,95,57,2018-12-01
新宿４丁目,226,182,107,2018-12-01
新宿５丁目,2074,1461,1146,2018-12-01
新宿６丁目,3099,2283,2011,2018-12-01
新宿７丁目,4322,3491,3217,2018-12-01
歌舞伎町１丁目,176,142,62,2018-12-01
歌舞伎町２丁目,1883,1441,821,2018-12-01
市谷田町１丁目,19,10,21,2018-12-01
市谷田町２丁目,351,256,359,2018-12-01
市谷田町３丁目,204,161,205,2018-12-01
市谷本村町,1779,1593,977,2018-12-01
市谷砂土原町１丁目,113,105,128,2018-12-01
市谷砂土原町２丁目,247,196,236,2018-12-01
市谷砂土原町３丁目,479,498,518,2018-12-01
市谷左内町,235,213,238,2018-12-01
市谷加賀町１丁目,21,13,22,2018-12-01
市谷加賀町２丁目,962,716,1017,2018-12-01
市谷甲良町,390,361,398,2018-12-01
市谷船河原町,76,87,91,2018-12-01
市谷長延寺町,93,46,88,2018-12-01
市谷鷹匠町,20,22,24,2018-12-01
市谷山伏町,303,271,281,2018-12-01
市谷八幡町,63,56,67,2018-12-01
神楽坂１丁目,12,12,16,2018-12-01
神楽坂２丁目,138,90,126,2018-12-01
神楽坂３丁目,299,237,219,2018-12-01
神楽坂４丁目,91,78,92,2018-12-01
神楽坂５丁目,393,314,395,2018-12-01
神楽坂６丁目,570,392,473,2018-12-01
細工町,261,209,228,2018-12-01
二十騎町,373,315,352,2018-12-01
揚場町,55,50,57,2018-12-01
津久戸町,69,48,49,2018-12-01
東五軒町,1150,1012,1158,2018-12-01
西五軒町,938,819,840,2018-12-01
赤城元町,230,182,214,2018-12-01
南榎町,713,695,696,2018-12-01
袋町,375,334,347,2018-12-01
払方町,507,491,545,2018-12-01
南町,383,391,414,2018-12-01
北町,499,471,519,2018-12-01
納戸町,569,479,548,2018-12-01
南山伏町,373,328,313,2018-12-01
北山伏町,353,229,266,2018-12-01
白銀町,748,623,750,2018-12-01
下宮比町,155,97,124,2018-12-01
矢来町,2592,2192,2551,2018-12-01
若宮町,559,494,525,2018-12-01
岩戸町,424,287,331,2018-12-01
中町,267,257,265,2018-12-01
箪笥町,414,284,319,2018-12-01
横寺町,576,447,453,2018-12-01
筑土八幡町,557,402,517,2018-12-01
新小川町,1906,1560,1581,2018-12-01
神楽河岸,0,0,0,2018-12-01
市谷薬王寺町,2075,1592,1719,2018-12-01
市谷柳町,872,603,682,2018-12-01
市谷仲之町,1252,1172,1304,2018-12-01
赤城下町,770,605,595,2018-12-01
天神町,741,529,594,2018-12-01
榎町,464,318,330,2018-12-01
東榎町,232,153,161,2018-12-01
早稲田町,805,560,612,2018-12-01
早稲田南町,460,397,396,2018-12-01
馬場下町,328,262,257,2018-12-01
原町１丁目,871,681,777,2018-12-01
原町２丁目,697,650,617,2018-12-01
原町３丁目,1129,866,1012,2018-12-01
喜久井町,1127,1007,973,2018-12-01
築地町,325,257,289,2018-12-01
弁天町,1982,1604,1703,2018-12-01
中里町,354,328,368,2018-12-01
山吹町,2321,1680,1832,2018-12-01
改代町,375,302,285,2018-12-01
水道町,629,441,467,2018-12-01
早稲田鶴巻町,3931,2862,2942,2018-12-01
住吉町,1775,1334,1378,2018-12-01
市谷台町,901,736,702,2018-12-01
河田町,1528,1474,1516,2018-12-01
若松町,3417,2824,3038,2018-12-01
余丁町,2542,2043,2124,2018-12-01
戸山１丁目,1558,1202,1342,2018-12-01
戸山２丁目,3344,2213,3370,2018-12-01
戸山３丁目,558,466,446,2018-12-01
富久町,4182,3648,3597,2018-12-01
百人町１丁目,3352,2407,1768,2018-12-01
百人町２丁目,3683,2762,2192,2018-12-01
百人町３丁目,2610,2626,2880,2018-12-01
百人町４丁目,1593,1163,1524,2018-12-01
大久保１丁目,3529,2447,2120,2018-12-01
大久保２丁目,6119,4553,4074,2018-12-01
大久保３丁目,2331,2245,2479,2018-12-01
戸塚町１丁目,139,89,119,2018-12-01
西早稲田１丁目,3627,2656,2928,2018-12-01
